text,username,location,len
"Still sharing #TaiwanModel even though we got no #WHA73 invitation this year. So how does #Taiwan fight #coronavirus? Last but not least, we fight misinformation and issue government announcements. https://t.co/8GYNpBSbHX",digidiploTaiwan,"Taipei, Taiwan",221
"The jokes are amazing. At one point she mocks Arab politicians and religious leaders comparing the coronavirus to homosexuals by trying to use their logic: Corona means crown and LGBTQs say 'yas Queen!' and Queens wear crowns, therefore they've caused the virus.",joeyayoub,3al balcon,262
RT @RTPIScotland: 'A new normal': how coronavirus will transform transport in Britain's cities https://t.co/ORwQQUzWLp,stepchangescot,Scotland ,118
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,Eurozonian,pro-Federal EuroStates,117
RT @SCIE_socialcare: Thanks to @WrenchKatie for a blog for #MentalHealthAwarenessWeek https://t.co/0kjnFMx6Vz #covid19 #socialcare,WrenchKatie,West Yorkshire,130
"@SenAlexander Imagine the difference if Trump Republicans spent as much time on coronavirus as they do Obama, Clinton, and China “conspiracies”. And to top it off, they call the coronavirus a hoax and the “conspiracies” all real. Trump Republicans can fool some once, but now it’s your life! https://t.co/O1JprYbxt7",KevinScott4all,United States,315
"RT @lovelightGod4u: @shay_tera I am so sorry to hear of this horrific attack! Prayers are on the way.

https://t.co/eIEDQOZH6P",SpaceForceNet,"USS Frontier, Deep Space",126
Trump is fighting a public health crisis with denial and self-promotion https://t.co/L8FZc93FyG,mason849,London,95
‘The Coronavirus Op And Mass Mind Programming - David Icke Talks To Jeff Rense’ on #SoundCloud #np https://t.co/vTkVQH6VCd,Thesearethedamn,Some bloke From Birmingham,122
He already got the coronavirus! https://t.co/48JQnMSpgZ,thetis_benton,"East Point, GA",55
Premier League clubs face checks to ensure coronavirus protocols are being observed #afcb https://t.co/602bHFq3WQ,EchosportDan,"Upton, England",113
"Zee Media newsroom, studios sealed after 28 employees test positive for coronavirus - https://t.co/7gOMyheWw6",qazizaid89,South Asia. ,109
"#CoronavirusUpdates: #COVID19 Cases Rise to 260 as 12 New Infections are Confirmed on Monday
#ChimpReportsNews  #UgandaNews #Uganda #Featured #Coronavirus
@MinofHealthUG @UVRIug @GovUganda @ainbyoo #StaySafeUG #Tonsemberera #Masks4All #M7Address #News
https://t.co/gZOkGKbyyM",ChimpReports,Uganda,275
"#Bihar has reported 1,423 confirmed #COVID19 cases, of which 652 are migrant labourers who have returned home from outside the state. Here's more

#Coronavirus #COVIDIndia 

https://t.co/3zjhhN68dJ",moneycontrolcom,Mumbai,197
Summer unlikely to curb coronavirus pandemic growth: study https://t.co/PUmB0prqoO https://t.co/nUFdyfIuiy,gnnhdofficial,Pakistan,106
